mep_id;name;profile_url;email;x_url;x_handle;political_group;country;national_party;country_and_national_party
256893;HomePierre PIMPIE;https://www.europarl.europa.eu/meps/en/256893;;;;Patriots for Europe Group;France;Rassemblement national (France);"France
						 
							 - Rassemblement national (France)"
257115;HomeGheorghe PIPEREA;https://www.europarl.europa.eu/meps/en/257115;;;;European Conservatives and Reformists Group;Romania;Alianța pentru Unirea Românilor (Romania);"Romania
						 
							 - Alianța pentru Unirea Românilor (Romania)"
204414;HomeMargarita DE LA PISA CARRIÓN;https://www.europarl.europa.eu/meps/en/204414;;;;Patriots for Europe Group;Spain;VOX (Spain);"Spain
						 
							 - VOX (Spain)"
256844;HomeJaroslava POKORNÁ JERMANOVÁ;https://www.europarl.europa.eu/meps/en/256844;;;;Patriots for Europe Group;Czechia;ANO 2011 (Czechia);"Czechia
						 
							 - ANO 2011 (Czechia)"
257145;HomeDaniele POLATO;https://www.europarl.europa.eu/meps/en/257145;;;;European Conservatives and Reformists Group;Italy;FRATELLI D' ITALIA (Italy);"Italy
						 
							 - FRATELLI D' ITALIA (Italy)"
197404;HomeJessica POLFJÄRD;https://www.europarl.europa.eu/meps/en/197404;;https://twitter.com/jessicapolfjard;jessicapolfjard;Group of the European People's Party (Christian Democrats);Sweden;Moderaterna (Sweden);"Sweden
						 
							 - Moderaterna (Sweden)"
257107;HomeVirgil-Daniel POPESCU;https://www.europarl.europa.eu/meps/en/257107;;https://x.com/vpopescu68;vpopescu68;Group of the European People's Party (Christian Democrats);Romania;Partidul Naţional Liberal (Romania);"Romania
						 
							 - Partidul Naţional Liberal (Romania)"
256907;HomeReinis POZŅAKS;https://www.europarl.europa.eu/meps/en/256907;;;;European Conservatives and Reformists Group;Latvia;Apvienotais saraksts — Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija (Latvia);"Latvia
						 
							 - Apvienotais saraksts — Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija (Latvia)"
256813;HomeVladimir PREBILIČ;https://www.europarl.europa.eu/meps/en/256813;;;;Group of the Greens/European Free Alliance;Slovenia;Vesna – zelena stranka (Slovenia);"Slovenia
						 
							 - Vesna – zelena stranka (Slovenia)"
257128;HomeGiusi PRINCI;https://www.europarl.europa.eu/meps/en/257128;;;;Group of the European People's Party (Christian Democrats);Italy;Forza Italia (Italy);"Italy
						 
							 - Forza Italia (Italy)"
197820;HomeNicola PROCACCINI;https://www.europarl.europa.eu/meps/en/197820;;;;European Conservatives and Reformists Group;Italy;FRATELLI D' ITALIA (Italy);"Italy
						 
							 - FRATELLI D' ITALIA (Italy)"
257041;HomeJacek PROTAS;https://www.europarl.europa.eu/meps/en/257041;;https://x.com/jacek_protas;jacek_protas;Group of the European People's Party (Christian Democrats);Poland;Platforma Obywatelska (Poland);"Poland
						 
							 - Platforma Obywatelska (Poland)"
256969;HomeFriedrich PÜRNER;https://www.europarl.europa.eu/meps/en/256969;;https://twitter.com/DrPuerner;DrPuerner;Non-attached Members;Germany;Independent (Germany);"Germany
						 
							 - Independent (Germany)"
124850;HomeEmil RADEV;https://www.europarl.europa.eu/meps/en/124850;;https://twitter.com/emil_radev;emil_radev;Group of the European People's Party (Christian Democrats);Bulgaria;Citizens for European Development of Bulgaria (Bulgaria);"Bulgaria
						 
							 - Citizens for European Development of Bulgaria (Bulgaria)"
188945;HomeDennis RADTKE;https://www.europarl.europa.eu/meps/en/188945;;https://twitter.com/RadtkeMdEP;RadtkeMdEP;Group of the European People's Party (Christian Democrats);Germany;Christlich Demokratische Union Deutschlands (Germany);"Germany
						 
							 - Christlich Demokratische Union Deutschlands (Germany)"
256902;HomeEmma RAFOWICZ;https://www.europarl.europa.eu/meps/en/256902;;;;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;France;Parti socialiste (France);"France
						 
							 - Parti socialiste (France)"
188096;HomeJüri RATAS;https://www.europarl.europa.eu/meps/en/188096;;https://x.com/ratasjuri;ratasjuri;Group of the European People's Party (Christian Democrats);Estonia;Isamaa (Estonia);"Estonia
						 
							 - Isamaa (Estonia)"
257104;HomeRuggero RAZZA;https://www.europarl.europa.eu/meps/en/257104;;https://www.twitter.com/ruggerorazza;ruggerorazza;European Conservatives and Reformists Group;Italy;FRATELLI D' ITALIA (Italy);"Italy
						 
							 - FRATELLI D' ITALIA (Italy)"
256882;HomeJulie RECHAGNEUX;https://www.europarl.europa.eu/meps/en/256882;;https://x.com/jrechagneux?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor;jrechagneux;Patriots for Europe Group;France;Rassemblement national (France);"France
						 
							 - Rassemblement national (France)"
96998;HomeEvelyn REGNER;https://www.europarl.europa.eu/meps/en/96998;;https://twitter.com/Evelyn_Regner;Evelyn_Regner;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Austria;Sozialdemokratische Partei Österreichs (Austria);"Austria
						 
							 - Sozialdemokratische Partei Österreichs (Austria)"
103381;HomeTerry REINTKE;https://www.europarl.europa.eu/meps/en/103381;;https://twitter.com/TerryReintke;TerryReintke;Group of the Greens/European Free Alliance;Germany;Bündnis 90/Die Grünen (Germany);"Germany
						 
							 - Bündnis 90/Die Grünen (Germany)"
229839;HomeRené REPASI;https://www.europarl.europa.eu/meps/en/229839;;;;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Germany;Sozialdemokratische Partei Deutschlands (Germany);"Germany
						 
							 - Sozialdemokratische Partei Deutschlands (Germany)"
256935;HomeSabrina REPP;https://www.europarl.europa.eu/meps/en/256935;;;;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Germany;Sozialdemokratische Partei Deutschlands (Germany);"Germany
						 
							 - Sozialdemokratische Partei Deutschlands (Germany)"
